,Name,Market Cap (GBP$ Billion)
0,JPMorgan Chase,533.772
1,Industrial and Commercial Bank of China,471.347
2,Bank of America,444.199
3,Wells Fargo,420.554
4,China Construction Bank,351.447
5,HSBC Holdings PLC,299.386
6,Agricultural Bank of China,277.505
7,Citigroup Inc.,277.397
8,Bank of China,247.774
9,China Merchants Bank,167.417
10,Royal Bank of Canada,167.346
11,Banco Santander,157.969
12,Commonwealth Bank,153.232
13,Mitsubishi UFJ Financial Group,152.458
14,Toronto-Dominion Bank,148.074
15,BNP Paribas,140.986
16,Goldman Sachs,137.5
17,Sberbank of Russia,136.319
18,Morgan Stanley,136.061
19,U.S. Bancorp,129.107
20,HDFC Bank,120.747
21,Itaú Unibanco,117.7
22,Westpac,115.456
23,Scotiabank,107.792
24,ING Group,107.756
25,UBS,103.061
26,Charles Schwab,101.386
27,PNC Financial Services,98.643
28,Lloyds Banking Group,97.287
29,Sumitomo Mitsui Financial Group,91.928
30,Bank of Communications,91.587
31,Australia and New Zealand Banking Group,90.727
32,Banco Bradesco,88.498
33,National Australia Bank,87.103
34,Intesa Sanpaolo,84.697
35,Banco Bilbao Vizcaya Argentaria,82.848
36,Japan Post Bank,82.639
37,The Bank of New York Mellon,81.681
38,Shanghai Pudong Development Bank,80.279
39,Industrial Bank (China),78.356
40,Bank of China (Hong Kong),75.709
41,Bank of Montreal,72.612
42,Crédit Agricole,71.192
43,DBS Bank,70.283
44,Nordea,69.887
45,Capital One,69.78
46,NatWest Group,68.938
47,Mizuho Financial Group,68.293
48,Credit Suisse,66.169
49,Postal Savings Bank of China,65.467
50,China Minsheng Bank,65.43
51,UniCredit,65.234
52,China CITIC Bank,64.789
53,Hang Seng Bank,63.041
54,Société Générale,62.877
55,Barclays,62.603
56,Canadian Imperial Bank of Commerce,59.454
57,Bank Central Asia,59.181
58,Truist Financial,57.241
59,Oversea-Chinese Banking Corp,56.475
60,State Bank of India,55.382
61,State Street,54.3
62,Deutsche Bank,52.77
63,KBC Bank,52.422
64,Danske Bank,52.189
65,Ping An Bank,51.875
66,Standard Chartered,50.955
67,United Overseas Bank,47.963
68,QNB Group,45.822
69,Bank Rakyat,45.168
